,"MeltWater(wt%,calc_from_F)","MeltWater(wt%,calc_from_Cl)",sample
2015,1.0864326393346804,1.4705509352381803,Ap2
2016,0.9002108098734745,1.0208275141753973,Ap2
2017,0.910082915838787,0.9164378720952278,Ap2
2018,0.7922165875622361,1.0243122776509566,Ap2
2019,0.545478432136499,0.5572118684309846,Ap2
2020,1.2906548153835269,1.3385308734331678,Ap2
2021,0.7531516526387765,0.8127628079896974,Ap2
2022,0.8540632965157622,0.7818948135836029,Ap2
2023,1.69164760440955,1.5686486584076282,Ap2
2024,0.9554916007650311,1.0903521708121355,Ap2
2025,1.7249974720294647,1.9142052924161792,Ap2
2026,0.8304749724050489,0.8613400133585971,Ap2
2027,0.619650857391712,0.6535674440157945,Ap2
2028,0.3344728177541468,0.33525891115257317,Ap2
2029,0.6208082686850088,0.6284098620549411,Ap2
2030,1.3588380294536824,1.5266015598111005,Ap2
2031,0.8919732039163976,1.0318955729482617,Ap2
2032,0.7549882675718884,0.8099825107473783,Ap2
2033,0.9514826463052973,1.1270477328625077,Ap2
2034,0.8312577521800375,0.7829531178994388,Ap2
2035,1.0180951575980388,1.0872548056472768,Ap2
2036,0.9805960409925722,0.9437355770058484,Ap2
2037,0.34401745723364124,0.3552352052015668,Ap2
2038,0.771689300135531,0.8544454876537586,Ap2
2039,0.5459942385765579,0.5221461093766404,Ap2
2040,0.92056799178695,1.0053316264383054,Ap2
2041,0.6806302895934254,0.6257224583229822,Ap2
2042,0.7046020908283457,0.8777400618237859,Ap2
2043,1.1233833380578733,1.1567640741185212,Ap2
2044,1.4405199045660046,1.6132462946426513,Ap2
2045,0.5728754592944245,0.6156157568234629,Ap2
2046,0.9686145884970717,0.9858736706519711,Ap2
2047,1.3206826212463127,1.386668876510967,Ap2
2048,1.5354808939074143,1.455967440415704,Ap2
2049,0.846961703138385,0.9518957988656543,Ap2
2050,0.8025512872116811,0.8195134966894524,Ap2
2051,1.328960683913472,1.4518803120057018,Ap2
2052,1.0381350092508892,1.1658177134456853,Ap2
2053,1.1030359308475468,1.20372200057926,Ap2
2054,0.9094957127272273,0.7417103697041955,Ap2
2055,1.2296765169879063,1.5827214582680278,Ap2
2056,1.280968569727004,1.4516166697458575,Ap2
2057,0.9843899646862432,0.9015938757596204,Ap2
2058,1.0544068012310723,1.1433198754349394,Ap2
2059,0.8739855241020604,0.9497302137581696,Ap2
2060,1.0753242248920662,1.1306386335767513,Ap2
2061,1.9965594786669272,1.8043639863051293,Ap2
2062,0.6305153628894236,0.656136913700637,Ap2
2063,1.0454149397682582,1.31826787905362,Ap2
2064,1.1465585931591178,1.0476094810539642,Ap2
2065,0.9913610553772807,1.0363232732307837,Ap2
2066,0.5945889853578519,0.6133518106674827,Ap2
2067,1.1681870478972451,1.2332319941426342,Ap2
2068,0.9076717959614188,1.0959301132038837,Ap2
2069,1.2111073331750144,1.4392871727768086,Ap2
2070,0.8145294520771738,0.8430201374473442,Ap2
2071,0.7561803341052781,0.8093270929541362,Ap2
2072,1.0372561909697349,1.0899302239959467,Ap2
2073,0.4986339063483726,0.49448257379943217,Ap2
2074,0.943144974121774,1.323291135108542,Ap2
2075,1.2554831646894127,1.5364008624773093,Ap2
2076,0.9849326837696558,0.9950020911081581,Ap2
2077,0.8731974705206003,0.9190462918783393,Ap2
2078,1.4656694638757128,1.8727054844898898,Ap2
2079,0.46325317514704983,0.5501714157315122,Ap2
2080,1.3686236915949574,1.3553696405736646,Ap2
2081,1.3090134316716577,1.5928120945507829,Ap2
2082,1.0009061915929849,0.9921519933861674,Ap2
2083,1.4577917011618222,1.3928457977285602,Ap2
2084,0.9385585925653701,0.9949966950721046,Ap2
2085,1.2332117515905041,1.246358655823782,Ap2
2086,0.3160072625214757,0.26489825944483164,Ap2
2087,1.3854432043150162,1.4495429242498394,Ap2
2088,0.32475849622819036,0.35102310924031516,Ap2
2089,0.6944240349326541,0.7290991812443335,Ap2
2090,0.9804628792061476,1.0410965164378227,Ap2
2091,0.6733526295063061,0.5977794154209721,Ap2
2092,1.0854181831261136,1.0441016072862925,Ap2
2093,1.5347542651886295,1.8399924691139669,Ap2
2094,1.2953798438117226,1.2287731152838817,Ap2
2095,0.8574912851625982,0.9676392382857305,Ap2
2096,0.840034934002353,0.8830588918376179,Ap2
2097,0.696206675439085,0.9937929686280527,Ap2
2098,0.6983142506161926,0.7197410426772904,Ap2
2099,1.132485301506032,1.174222393499937,Ap2
2100,0.3133861151268716,0.27476794508488345,Ap2
2101,0.460382495712607,0.44535965716907405,Ap2
2102,0.7307839314413931,0.7015482973228886,Ap2
2103,0.6414666089342113,0.6399756989253572,Ap2
2104,1.280478139477836,1.1734383843497063,Ap2
2105,0.7205691005522608,0.7321950841172126,Ap2
2106,1.1606410318350218,1.1675950195025862,Ap2
2107,0.7090710911866072,0.764011935943719,Ap2
2108,1.134998253741376,1.1289047216834265,Ap2
2109,1.2523204893039956,1.1916812865167659,Ap2
2110,1.907155843307816,2.2844883925767037,Ap2
2111,0.6516296884198919,0.7289095903534025,Ap2
2112,0.8574768492676648,0.8397606325721834,Ap2
2113,1.1310122072817932,1.2854633412541268,Ap2
2114,1.1082736703492373,1.173052669440494,Ap2
2115,1.1823705205449815,1.37133896183275,Ap2
2116,0.6682427823657567,0.725847148453861,Ap2
2117,0.3450857373147434,0.26663767613630945,Ap2
2118,0.9116679475036695,0.937367380052843,Ap2
2119,1.0145046374373539,1.1127896192293394,Ap2
2120,0.7079037874872783,0.8222622096520326,Ap2
2121,0.6629670388656985,0.8813399522312027,Ap2
2122,0.7300509309324712,0.8493505601882624,Ap2
2123,1.4108493879855732,1.2996846190942866,Ap2
2124,1.1722252274997975,1.3019910922878273,Ap2
2125,0.7466096635086451,0.6447057968092894,Ap2
2126,0.7492776387897994,0.7278184843894412,Ap2
2127,0.6985723390282204,0.6335393720489294,Ap2
2128,1.0802330739361652,0.9176542539752552,Ap2
2129,1.0316119525435592,1.0931432766086056,Ap2
2130,1.108896465450104,1.1223957196290333,Ap2
2131,0.8272559336991259,1.1839870984949319,Ap2
2132,1.0084424632927607,0.9964667832066806,Ap2
2133,1.392537854057754,1.369373287061335,Ap2
2134,1.2082729511754362,1.6701864616421072,Ap2
2135,1.8580432824482085,1.6969526691080372,Ap2
2136,1.2853892005119265,1.2681587422887344,Ap2
2137,0.5897908964715833,0.5433306959690553,Ap2
2138,1.5478948106436687,1.487042841544396,Ap2
2139,0.7576718414811362,0.7859389076264175,Ap2
2140,0.9551826080416597,1.2188627382897192,Ap2
2141,1.1343080946941748,1.191657692587712,Ap2
2142,0.6379658048090432,0.809983975169116,Ap2
2143,1.1746418428891114,1.5150279891005833,Ap2
2144,0.8086241002827788,0.6590945052970255,Ap2
2145,0.6740478844349095,0.6548204616980676,Ap2
2146,1.6187196046164805,1.6491204030299436,Ap2
2147,1.3889651233459286,1.2195919411063956,Ap2
2148,0.9358288340540717,0.8869914969390623,Ap2
2149,0.9597533013067844,0.9063689519305431,Ap2
2150,0.7171100467535447,0.6998093021664764,Ap2
2151,0.7287047239830493,0.7984971825641242,Ap2
2152,1.5874017639709395,1.5657836737730246,Ap2
2153,0.8091908398746004,0.7139671683699194,Ap2
2154,0.7803447584861342,0.6913734268645103,Ap2
2155,0.8855354579252354,0.7730658607985008,Ap2
2156,1.099961961910329,1.333421383453691,Ap2
2157,1.1499055048807445,1.2801783891440714,Ap2
2158,0.7875781933801094,0.9605485406327573,Ap2
2159,0.6711301348536507,0.6782526145754024,Ap2
2160,1.2279907366237706,1.5856358760583298,Ap2
2161,0.9860302731235862,0.935951330333697,Ap2
2162,0.8500357755842329,0.8051903149044599,Ap2
2163,0.5370707050556345,0.5794968117699295,Ap2
2164,0.7826486862123407,0.7266067252432327,Ap2
2165,1.0504550758067939,1.0907953166827389,Ap2
2166,1.3738064759694164,1.3485663056795838,Ap2
2167,0.6814866771464041,0.8260247437860715,Ap2
2168,1.070206676707731,0.9516594160042576,Ap2
2169,0.8551080053339463,0.9886014611118796,Ap2
2170,0.847133562196407,0.7085001477536723,Ap2
2171,1.0780671532892336,1.0737367300799523,Ap2
2172,0.941842220368435,1.0251797822064572,Ap2
2173,0.7103233852946331,0.7420526203486699,Ap2
2174,0.5919786190783144,0.541421102379393,Ap2
2175,1.3330973583412835,1.166690877349342,Ap2
2176,0.9355349461500064,0.9918950225217241,Ap2
2177,0.9776831427381134,0.9017867564375271,Ap2
2178,1.5136394688996242,1.3473397296591316,Ap2
2179,1.6933158715790653,2.006368883055337,Ap2
2180,0.8878114203781564,0.9155545429139436,Ap2
2181,0.7996140330961012,0.7270141567166603,Ap2
2182,0.5275425698398127,0.7993387297784765,Ap2
2183,1.0907629974985544,1.251705661190122,Ap2
2184,1.1002176427264803,1.0009236763468055,Ap2
2185,0.8401040902164326,0.9541477132909392,Ap2
2186,1.2923614577047156,1.3556687441744664,Ap2
2187,1.45114574743375,1.3395193388137276,Ap2
2188,0.6573813343974226,0.7317410805460791,Ap2
2189,0.584454443622949,0.6125898814175512,Ap2
2190,0.942495883863804,0.9938126444193862,Ap2
2191,0.5442358845215161,0.5286466766281945,Ap2
2192,0.9868699967598463,1.051403714767434,Ap2
2193,1.2308597086438997,1.166644743235733,Ap2
2194,0.39661658981696957,0.5268450296735292,Ap2
2195,0.9946807080189182,0.9791671391295507,Ap2
2196,1.1131281566590765,1.1929551267801501,Ap2
2197,0.5959918595350769,0.5875566695810032,Ap2
2198,1.1946164961239127,1.2208728984168982,Ap2
2199,1.0915790810770307,1.1000646012922615,Ap2
2200,0.49503745186162423,0.48208037531271775,Ap2
2201,0.7400644377445866,0.8233783406803653,Ap2
2202,0.7221968885047548,0.764889549825583,Ap2
2203,0.6813977109096886,0.8348730819114596,Ap2
2204,1.0633502425495587,0.999174528784256,Ap2
2205,1.50287039047088,1.5888958104497066,Ap2
2206,0.5687516875285905,0.5218457795387056,Ap2
2207,1.0742439086605626,0.9903958870625543,Ap2
2208,0.9301829185131507,0.8986687332560379,Ap2
2209,0.803431771685305,0.6925358532563861,Ap2
2210,0.6217226560126173,0.7255858854617884,Ap2
2211,0.9943048926220154,0.9391711805881688,Ap2
2212,1.0748160555279174,1.0829345747404078,Ap2
2213,1.58980593124701,1.8889738985749478,Ap2
2214,0.9428995583891526,1.0348247689123253,Ap2
2215,1.3585974935406708,1.458943167396878,Ap2
2216,1.0615136069131164,1.099842046516841,Ap2
2217,1.0713292853203404,1.4909985232287264,Ap2
2218,0.6596251180711651,0.6334875901482023,Ap2
2219,1.2477767891363032,1.1215347593146403,Ap2
2220,0.6949651232223688,0.7725117816762467,Ap2
2221,1.068315344610481,1.2488923921819721,Ap2
2222,0.7686264516293568,0.7794871345674743,Ap2
2223,1.140233047594933,0.9952214931727802,Ap2
2224,0.8139266928511443,0.8117320352433094,Ap2
2225,1.108977221079394,1.129906276780512,Ap2
2226,1.1343320321823624,1.2857237328874656,Ap2
2227,0.8724736264231188,0.9113396199478093,Ap2
2228,0.9428789476005052,0.9080071209838009,Ap2
2229,0.6962762009818592,0.6955221764164462,Ap2
2230,0.9960468206764957,1.1504440018226292,Ap2
2231,1.1260476737766627,1.3212521520946863,Ap2
2232,1.269882680865694,1.3037864548440385,Ap2
2233,1.0331902057058793,1.4416439281087938,Ap2
2234,0.6445812459109318,0.5733814163412192,Ap2
2235,0.9531429041138115,1.1646605686114175,Ap2
2236,1.3290473944071561,1.4150204703863207,Ap2
2237,0.9422220176009242,0.8133417609233055,Ap2
2238,0.7560284204825818,0.9125332960777685,Ap2
2239,1.4853666500564844,1.5851119266527027,Ap2
2240,0.9134060340469384,0.864726742262564,Ap2
2241,1.5150714388524504,1.7117817668270363,Ap2
2242,1.402760936785011,1.4011941947819284,Ap2
2243,1.1646053829240677,1.1716145530121505,Ap2
2244,1.0084457011576515,1.0438482614800082,Ap2
2245,1.2687378397508353,1.5953248574974748,Ap2
2246,1.0007345709859952,0.9546555540855605,Ap2
2247,0.8473059042583487,0.906364683922979,Ap2
2248,0.7227715480246714,0.8588454300856866,Ap2
2249,0.7321223029973405,1.0003318526515526,Ap2
2250,1.001051813976991,1.160826172464324,Ap2
2251,0.9227391587364153,1.0147864459195757,Ap2
2252,0.3594699895344725,0.35083151891119607,Ap2
2253,1.090243127587465,1.2511330579359543,Ap2
2254,1.40143366184537,1.5608128896518316,Ap2
2255,0.6400123434345851,0.6337681226502597,Ap2
2256,1.0806769171726858,1.0722154883815478,Ap2
2257,0.7437177053550905,0.706862312792823,Ap2
2258,0.550368574649051,0.5019825097571113,Ap2
2259,1.717675728466362,2.103154425597256,Ap2
2260,1.4624579589251914,1.4743441487219824,Ap2
2261,0.8756291165550674,0.9036402837148013,Ap2
2262,0.6535268407879962,0.7904840083576434,Ap2
2263,1.143975940849489,1.2791677627564475,Ap2
2264,0.5528590035814515,0.6160321729502888,Ap2
2265,1.1921123945337588,1.4153182251028291,Ap2
2266,1.4513892964317456,1.5468831483725158,Ap2
2267,0.5861832873093635,0.7152548453415457,Ap2
2268,0.8731301908567181,0.879024788392267,Ap2
2269,0.6416754638394723,0.5643535878853877,Ap2
2270,1.4772912747266203,1.4279931561742596,Ap2
