MeltWater_F,MeltWater_Cl,sample
3.002155097199097,2.9005470647596923,Ap1
3.4186700340292613,3.389624279884983,Ap1
2.473435216275794,2.308498457002482,Ap1
2.1058281189393244,1.915996324903952,Ap1
2.019152126985354,1.8257664563784433,Ap1
1.301057611842175,1.1131620229360224,Ap1
1.9413299263281742,1.745513889654491,Ap1
2.1665768660916838,1.9797654533487357,Ap1
1.8932517478769968,1.6962955437899223,Ap1
3.075640793714267,2.9853852628668487,Ap1
2.544943523665833,2.3866816166615714,Ap1
3.101204681595125,3.015044021944971,Ap1
3.7506717849046636,3.7937798755957695,Ap1
1.718103512259072,1.5193451464960381,Ap1
2.0497916806325684,1.8575605289032686,Ap1
2.321371770274485,2.1442187267999047,Ap1
1.451558843055147,1.2572426877582605,Ap1
5.234048046773691,5.758050309586067,Ap1
3.347838241752263,3.3050441780046915,Ap1
2.290970208142915,2.111698561937194,Ap1
3.621861851708197,3.635463997582992,Ap1
3.121734845900569,3.038917159171083,Ap1
2.057479760446024,1.865555782431106,Ap1
4.297850214069188,4.4878262444821075,Ap1
2.494187490547667,2.331126669304115,Ap1
2.1951558271944758,2.0099157906272347,Ap1
2.349731639211544,2.174652344218412,Ap1
1.9629267842956106,1.7677128497846701,Ap1
2.6134651446065806,2.4621557351646235,Ap1
3.4745254911792047,3.4567286892621625,Ap1
1.4748205919569628,1.279766463702649,Ap1
3.7791165745598145,3.828999402694571,Ap1
1.8772913750777065,1.6800178875212635,Ap1
2.5281322968607367,2.368247797038608,Ap1
4.686503943954891,5.00225696052039,Ap1
1.8578055976611223,1.6601861977625234,Ap1
1.4673344790483276,1.2725104656249364,Ap1
1.6760863986472454,1.4774485508852115,Ap1
2.945569076204801,2.8356426753576627,Ap1
1.4619458236954275,1.2672917852679562,Ap1
1.6903586962003707,1.491655773656767,Ap1
3.298307337304201,3.2462425475028143,Ap1
2.50223297248057,2.339912895194255,Ap1
2.3682555427846927,2.194581482039875,Ap1
2.809002778627122,2.6805190404662884,Ap1
3.5183079074006742,3.509580033788379,Ap1
2.502832095848353,2.3405674803389154,Ap1
1.3587956573478883,1.1680980637881906,Ap1
3.471173020587874,3.4526909094430627,Ap1
1.8201911335752659,1.6220331522699294,Ap1
3.004930047099405,2.9037394197743387,Ap1
2.898450059794512,2.7818781778486685,Ap1
2.5832096560208986,2.4287633262616604,Ap1
1.5530597928551726,1.356018123010236,Ap1
2.085811776579177,1.8950802526555455,Ap1
2.3830988258384744,2.2105796845438914,Ap1
1.81353645646213,1.6153009353525012,Ap1
1.7956194717349716,1.597201746643687,Ap1
4.278459232309399,4.4626303805818806,Ap1
2.7384754772341995,2.6012498230801766,Ap1
1.0327367714790747,0.863515218304736,Ap1
2.4041061229371614,2.233265420704241,Ap1
3.9660245362716466,4.062761289951604,Ap1
2.271167539039552,2.090574087441473,Ap1
1.885011488848672,1.6878876574850086,Ap1
1.1753738714453474,0.9950555557286112,Ap1
3.420416136371327,3.391716593997659,Ap1
3.805142688037751,3.8613064073753534,Ap1
1.0412668466876682,0.8713058733840456,Ap1
2.170661431232012,1.9840687134871158,Ap1
1.608590284301813,1.4105977989413945,Ap1
3.8518969996727743,3.919541469443516,Ap1
2.091625726828414,1.9011506554129531,Ap1
1.238356998660355,1.0539868039279638,Ap1
3.9648498406231356,4.061279423827401,Ap1
2.6036187317321517,2.4512768009367027,Ap1
1.7290484715301295,1.5302940037105117,Ap1
2.1837627141326035,1.997884719254748,Ap1
3.8694588484369796,3.9414813345947692,Ap1
2.174337771208978,1.9879435714867209,Ap1
2.8172658222305595,2.6898438372558364,Ap1
6.464568840080585,7.596909000456577,Ap1
2.1515574828416186,1.963958808383479,Ap1
2.2685045333529175,2.087736833605818,Ap1
1.9909463769031812,1.7965965044707304,Ap1
2.0998095167755677,1.9097022065483977,Ap1
1.8154824520540909,1.6172690529713354,Ap1
2.7101951690893604,2.569625381768462,Ap1
1.1402268060181369,0.9623940186885248,Ap1
1.2925204174336917,1.1050751943977042,Ap1
2.5315721550806654,2.372016996869429,Ap1
2.7244955394812984,2.5856052226659796,Ap1
1.706326128897425,1.5075798460713983,Ap1
2.739633070300819,2.6025462681100118,Ap1
1.7402344133614935,1.54149897122682,Ap1
3.494214700833765,3.4804689000785163,Ap1
2.7714724544369465,2.638265373034428,Ap1
4.378538365551321,4.593146865720418,Ap1
2.825956348558111,2.6996595377982033,Ap1
1.7175358432722148,1.5187776727150775,Ap1
1.9895114944993384,1.795115101343625,Ap1
4.837225121911681,5.206638060882662,Ap1
1.348152092043608,1.1579391661523353,Ap1
2.7546011597812456,2.619323692089515,Ap1
1.8168673738106946,1.6186699966932627,Ap1
2.374201710036451,2.200987220087151,Ap1
2.1637952783649888,1.9768360592648664,Ap1
1.396321689602513,1.2040296898775376,Ap1
2.9799936193449073,2.8750838701188908,Ap1
2.5277794441532384,2.367861238870788,Ap1
2.1629323786155363,1.9759274925095427,Ap1
2.3032218219539415,2.124790948768358,Ap1
2.255450155475058,2.0738402954963506,Ap1
3.0007766035040175,2.8989615488029212,Ap1
2.761200042169856,2.62672845566786,Ap1
3.3310447303212434,3.285075781976777,Ap1
3.8138330125493463,3.8721114768742666,Ap1
2.2260955080032794,2.0426649438297013,Ap1
2.0515621899616123,1.859401156965806,Ap1
2.6368228206180655,2.4880076434823777,Ap1
2.0355736032586313,1.8427928466457855,Ap1
3.3641694246295684,3.3244939731147434,Ap1
2.786459689485615,2.65511933026187,Ap1
1.9520904598842173,1.7565674584180992,Ap1
3.021509829742176,2.9228315742985145,Ap1
1.8589810772995083,1.6613812516322803,Ap1
2.9159027952959855,2.801762575514777,Ap1
2.7905930150219276,2.6597720362875927,Ap1
2.3016230441799075,2.1230814574170718,Ap1
4.134368187867307,4.276792575535743,Ap1
2.490770091578866,2.3273969070015297,Ap1
1.8313113880085594,1.633294893708296,Ap1
3.443155105424812,3.418996244643365,Ap1
1.5886748311169892,1.3909796219522885,Ap1
1.8883159872064008,1.6912583995692114,Ap1
2.3882142162019484,2.2160990451079834,Ap1
1.130675925117227,0.953546505518949,Ap1
5.071707314965143,5.530113553845501,Ap1
4.005395772724731,4.112520826034799,Ap1
2.3044691003814846,2.12612480752597,Ap1
2.9113111248852017,2.7965277552427104,Ap1
2.746848711396749,2.6106309039531133,Ap1
1.3972629971353778,1.2049332894251494,Ap1
3.2530430083789046,3.192752917945432,Ap1
2.1269124034775033,1.938079556103105,Ap1
3.635322829637397,3.6519186158301027,Ap1
2.802796656505479,2.6735206439137436,Ap1
2.1773549162867676,1.9911248278411497,Ap1
2.1325847002426297,1.9440295604380546,Ap1
1.6041211242944033,1.4061911019298847,Ap1
3.042424574906919,2.9469606810872016,Ap1
3.8065886924506622,3.8631036814151343,Ap1
3.4745652435253453,3.4567765755214537,Ap1
1.418562616967873,1.225409496469376,Ap1
1.676261574208686,1.47762277700202,Ap1
1.3814499003632998,1.1897684855905553,Ap1
3.4818845044237268,3.465596569039317,Ap1
2.9589282737397333,2.8509325017567786,Ap1
1.630391129216626,1.4321291348594678,Ap1
1.415886498321078,1.222833696895571,Ap1
1.931014428815223,1.7349304618872043,Ap1
2.318586975765528,2.1412353692895496,Ap1
3.846293256437748,3.9125483061490764,Ap1
1.5403728343362468,1.3436018412810316,Ap1
2.5821500451903945,2.4275957754373794,Ap1
2.4785860264977435,2.314110214498094,Ap1
2.588584850364398,2.4346880821110015,Ap1
3.3518189292774476,3.3097821903920805,Ap1
4.558508445142979,4.830845864678576,Ap1
2.4337764424434005,2.2653939356443002,Ap1
6.546455950307973,7.726610207519316,Ap1
1.1742070019840196,0.9939686155643881,Ap1
1.1708884820017122,0.990878380938972,Ap1
5.006437754444236,5.439393162398306,Ap1
1.479852761276626,1.284647881784065,Ap1
4.456876132374169,4.696138606017745,Ap1
2.815624532836632,2.6879910252479435,Ap1
1.4768827203972816,1.2817664337703731,Ap1
2.7046936066631204,2.56348399317653,Ap1
2.481570961897691,2.3173636837212115,Ap1
2.873734690291794,2.7537792613944316,Ap1
1.3249214215292466,1.1358162936871725,Ap1
1.781201704627819,1.5826655197607291,Ap1
3.4080958127717125,3.3769609375718406,Ap1
1.3610698933893575,1.170270601795095,Ap1
2.946139428972914,2.8362950339553676,Ap1
3.283015130967436,3.228145122387786,Ap1
1.9426442467148215,1.7468632608007253,Ap1
5.125376391988374,5.605105212597617,Ap1
1.390414010992201,1.1983612190452995,Ap1
2.8834227035482782,2.764785185327148,Ap1
3.292171616912066,3.23897805209577,Ap1
2.1599700918516183,1.9728091010176734,Ap1
1.3107784202747135,1.122381363217141,Ap1
4.702044449039926,5.023203030311264,Ap1
1.6296157172303187,1.4313623078987163,Ap1
2.5858373500964245,2.431659258414683,Ap1
2.867133424846234,2.746286184367823,Ap1
2.319364150488154,2.1420678673455393,Ap1
2.4261560273936404,2.2571323828658656,Ap1
2.883510772750028,2.7648852846202168,Ap1
2.881298302287136,2.76237086541556,Ap1
3.466541733348877,3.447115029291347,Ap1
3.0013377364856164,2.8996069263849367,Ap1
3.262771016830847,3.204228787454886,Ap1
4.782920377569247,5.132682157520539,Ap1
1.412975299928038,1.2200326527004755,Ap1
1.3925442443642346,1.2004046896809517,Ap1
3.498555684902386,3.4857090432173026,Ap1
2.239634962303644,2.0570316099574915,Ap1
5.497115466501501,6.134452080120983,Ap1
1.595042284349755,1.397246718844199,Ap1
3.0412673636713667,2.9456243045372776,Ap1
4.211828870387194,4.376391741802151,Ap1
1.1277591906409241,0.9508469592899804,Ap1
1.7966081853131528,1.59819950425435,Ap1
4.681027248890962,4.994882213669497,Ap1
1.8632367735320239,1.665709203197241,Ap1
1.1121863856825127,0.9364526846145752,Ap1
2.982129221527513,2.8775351836149516,Ap1
4.272484480207115,4.454875977541122,Ap1
2.7694006670035196,2.6359375743270665,Ap1
4.598200102245585,4.8837902159912785,Ap1
4.137435409012531,4.280723012464276,Ap1
1.8976259420045611,1.7007620275394966,Ap1
